vendor,legal_name,entities,category,federal_tax_classification,tax_address_on_file,contacts,active,spend_all_time,spend_365d,ramp_vendor_uuids
AX Pharmaceutical Corp - Autopay,,TN,General Merchandise,,YES,1,yes,96607.50,96607.50,10bb3d00-466d-4def-bcbf-fce647588d73
EasyPost,,FL|TX,Professional Services,,,0,yes,86694.79,86694.79,d7ccd22b-16e6-4cbf-9c36-c4746ad93dff|43647483-6d81-421b-86fc-23a86af48b68
"Kingsway Press, Inc",,TN,Advertising,,YES,1,yes,78538.42,78538.42,344c366b-2d84-46f0-a08f-f957e67a523d
Indeed-Ramp,,FL,Professional Services,,,1,yes,53150.44,53150.44,029c8057-da52-4a82-81c5-d78484a8ad2d
AX Pharmaceutical Corp-Auto ACH,,FL,Medical,,,1,yes,51430.00,51430.00,bb40affd-3f42-46b5-a413-1024020f4fed
ALIBABA.COM,,FL|TN,General Merchandise,,,2,yes,50445.00,50445.00,715dc786-0b12-4773-9e4a-5ae55699ff70|e5673711-b2bd-46a3-b780-5e574a9d554d
Amerisource Receivables,,TN,Medical,,,0,yes,49338.59,49338.59,d1e85208-1dab-4bf3-9589-6e35df31d8a2
Ring Central Inc. - ACH,"RingCentral, Inc.",FL|TN,Internet and Phone,C_CORPORATION,YES,2,yes,49304.61,49304.61,975b84f9-5e4d-4fbe-8e37-41c5645b1226|5415d0b9-d373-4e3b-9b98-69f7dc588330
Amerisource Bergen LLC - AutoPay,,FL|TN,Medical,,YES,3,yes,45125.43,45125.43,10274f10-fd1f-4a28-a45a-3b0f5c157282|73393a9e-51cc-4a30-937c-39c8198a34f7
ULINE,,TN|TX,General Merchandise,,YES,2,yes,44714.34,44714.34,f83c20df-8a47-40d1-9d4f-8f3ce95a5366|5dd7824c-5dab-43e8-814b-ffcd27a15947
Consolidated Label Co LLC,,FL|TN,Office supplies and cleaning,,,2,yes,43241.24,43241.24,aed5e693-a04b-49a9-a42d-6a3eaab9ddcc|0ca788fa-0efd-4911-9763-a64dc7065536
Uline Ship Supplies - AutoPay,,FL,General Merchandise,,,1,yes,42192.65,42192.65,381c5f38-3dac-4ae2-9b34-942b36a5e191
Oak Drugs Inc. - AutoPay,,FL|TN,General Merchandise,,YES,2,yes,36932.47,36932.47,d8676a6d-8a26-4f0c-94fc-f6fb70bc1b28|3bfe55f6-8ed9-47cc-93c0-492d0100b137
PCCA - Auto ACH,,FL|TN,General Merchandise,,YES,1,yes,36857.98,36857.98,0fa5efc6-9052-4265-9e4a-2b31225e0b1f|282c88b1-0f76-4b5a-a7ee-7e9c9bded204
DropperBottles.com,,FL|TN|TX,General Merchandise,,,2,yes,33946.07,33946.07,0704ca30-1912-472b-bb17-ae96cb51d4ad|ec320d29-b629-4235-91a8-df584f05f389|5bc8a8e6-506d-47f0-a485-202791f82a7c
"Willow Birch Pharma, Inc.",,FL,Medical,,,1,yes,33375.00,33375.00,9cbb3d73-6037-43e9-af4e-e6b05a5efc99
Integral Rx,,FL|TN,General Merchandise,,YES,2,yes,30383.08,30383.08,d2b71819-9b84-4963-9e7e-7bb6af936c1b|cd8c36e1-191a-4299-9542-af8021874e03|8434e4eb-5b4f-4b5a-b9a4-2f851bb827fc
American Airlines,,FL|TN|TX,Airlines,,,0,yes,29546.59,29546.59,819816f5-5168-4856-afa3-34a83c5686a4|0ad0003d-1b4c-4315-b46a-ddab022f960e|970adbbd-3f67-416e-82f4-df11df65b772
"South Pointe Wholesale, Inc. - AutoPay",,FL|TN,Medical,,YES,2,yes,28706.74,28706.74,b736f416-fadf-4641-8413-bb48501e1125|a279fdb5-fef7-4557-8bb8-7e17a549edda
Doordash,,FL|TN|TX,Restaurants,,,0,yes,25516.43,25516.43,23d2bb92-e532-447c-a948-07b2bde9977b|eafd2bcd-3e53-4fe4-a634-35c0dfbed987|cbb85c61-bba7-4a0d-a6d5-a8fb21a7caed
PARAMOUNT STAFFING LLC,,FL|TN,Professional Services,,,1,yes,24288.13,24288.13,5edd9de7-aa5b-4536-9843-a857aa9ceac5|82e77756-c899-4671-a18f-31cfe7bbe2a7
TopRx,,FL|TX,General Merchandise,,,0,yes,23279.14,23279.14,a116d3e0-2ae6-41f4-9f50-bbe3ae71e63f|0a2ebe11-5f15-42ec-9396-c636beb92574
Bottlemate Inc.,,FL|TN,General Merchandise,,YES,2,yes,23261.66,23261.66,16748592-7ea3-4657-af0d-f6fffcbab59a|c8bf901a-bc30-4ba9-84c5-7bdd46b39d59
Sam's Club,,FL|TN|TX,General Merchandise,,,2,yes,21104.98,21104.98,d0c63899-ae71-4205-9e49-dfbba00bf5af|f3f3d041-6ddf-40e1-a413-99eec135a42e|bea6efb1-39f3-493b-abf4-654c2b0ba97d
Salesforce,,FL,Cloud Computing,,,1,yes,20917.50,20917.50,fd94a404-27ff-4575-a197-d30b67ee78ac
Hospital Pharmaceutical,,FL|TX,General Merchandise,,,0,yes,20069.53,20069.53,fcd8e88f-9d7d-418e-95bd-fc3ff9a6dc76|adf6f762-6265-412c-bf1d-6959bf511326
Hampton Lakes Professional Centre Condominium,,FL,Office,,,1,yes,18844.07,18844.07,22e9e04d-a1ba-4bf4-aad0-4081f32280bd
Walmart,,FL|TN|TX,General Merchandise,,,2,yes,18823.70,18823.70,c131722c-4f03-4296-895d-18817a18c245|32d324c5-5454-47ae-a893-4ebec2a61141|5babe127-2ef0-4c1d-ac5b-ca09536aab10
Paypal,,FL|TN|TX,Fees and Financial institutions,,,0,yes,18163.68,18163.68,1c686b80-3a6d-4a8d-8d64-b29a5cc01d66|adeb9b79-2dbb-484d-adfb-25f2656dce18|554a63a0-4e6b-42e8-a41f-3f5a48e18614
US Plastic Corporation - AutoPay,,TN,General Merchandise,,YES,1,yes,17883.51,17883.51,5ccd14ca-6f1b-405f-b367-f86d26eb0a71
Linkedin,,FL|TN|TX,SaaS / Software,,,2,yes,17302.32,17302.32,0b21f80c-a5d6-4734-9e13-246a252f7f6e|4a2a26dd-bd45-46e9-b810-83ff026bd580|1e1a7304-c740-4311-99b2-24636ad60576
Real Value - AutoPay,,TN|TX,Medical,,,2,yes,16618.45,16618.45,d44fb53f-0d3a-49f1-b44a-d05e68d44047|df12b7d2-859f-4dc1-8ad0-629fb470f7c6
Prescription Supply Inc. - AutoPay,,FL,Medical,,,2,yes,16341.94,16341.94,6f658edc-529d-4c64-b22b-694480bdc5a3|7031dc89-bd3d-4897-a049-15115ec0ac2b
Blue Sun International - ACH Ramp,,TN|TX,General Merchandise,,YES,2,yes,16034.76,16034.76,dfbf6957-2a37-4073-a3cb-b5b54526e5de|d7e08376-e5f9-40cb-a496-0d67e23fd2cd
Mailers HQ,,TN,Shipping,,,1,yes,15300.00,15300.00,494518b7-44af-4ed2-b6ba-b0bdfe3cb962
Blue Sun International- Ramp ACH,,FL,General Merchandise,,,1,yes,14253.12,14253.12,6dfee51a-0c59-48cb-bdf7-925bfe457280
Univar Solutions,,TN,"Freight, Moving and Delivery Services",,YES,1,yes,13880.54,13880.54,014f3b67-dc74-4206-b78a-659ec9020ad9
Spectrum Chemical Mfg. Corp Pay Online,,FL|TN,Other,,YES,2,yes,13201.32,13201.32,7b80f6fa-8325-4e5b-8043-63f3bf520245|1ed8b8bc-cd86-4de6-837a-6dd61bf08ed3
Hampton Inn,,FL|TN|TX,Lodging,,,0,yes,13030.65,13030.65,fac58590-c225-44a1-bc15-8d625c57d7b5|cdf925af-19a2-46aa-a02f-590552523f7f|10ebdc48-5182-4a6d-95a6-e5ffe4bd4376
Aloft,,FL|TN,Lodging,,,0,yes,12544.13,12544.13,d28b50c2-2eb2-43fe-a586-3f2d8b09c525|fa864cc2-ae3f-4fa2-8ee5-d80b9ea4570e
"Kingsway Press, Inc Ramp ACH",,FL,Advertising,,,1,yes,12309.89,12309.89,d12bc613-fc85-4530-91b0-60457b25228f
Teco-Autopay,,FL,Utilities,,,1,yes,12254.66,12254.66,e0123faf-b22d-47d3-b41d-bb24ffdcc9ad
